,week,home,away,goal1,goal2,result,home_form,away_form,home_rank,away_rank
336,34,ERZURUMSPOR,BEŞİKTAŞ,2,4,2,0.4,2,20,1
337,34,KASIMPAŞA,MALATYASPOR,0,0,0,1.2,0.5,14,15
338,34,ALANYASPOR,DENİZLİSPOR,3,2,1,1.2,1,6,21
339,34,FENERBAHÇE,GAZİANTEP,3,1,1,1.6,1.75,2,5
340,35,GENÇLERBİRLİĞİ,SİVASSPOR,2,3,2,2,2.6,19,9
341,35,KONYASPOR,KAYSERİSPOR,0,0,0,1.6,0.4,12,18
342,35,BEŞİKTAŞ,ANKARAGÜCÜ,2,2,0,2,2,1,13
343,35,ANTALYASPOR,RİZESPOR,2,3,2,1.2,1.6,11,14
344,35,DENİZLİSPOR,ERZURUMSPOR,2,3,2,0.4,0.4,21,20
345,35,TRABZONSPOR,HATAYSPOR,1,1,0,1.4,0.75,4,7
346,35,MALATYASPOR,ALANYASPOR,1,0,1,0.75,1.2,16,5
347,35,GÖZTEPE,GALATASARAY,1,3,2,1.4,1,10,3
348,35,GAZİANTEP,KASIMPAŞA,2,2,0,1.75,1.2,6,15
349,35,BAŞAKŞEHİR,FENERBAHÇE,1,2,2,1,1.6,17,2
350,36,KAYSERİSPOR,GENÇLERBİRLİĞİ,2,2,0,0.6,1.4,17,20
351,36,RİZESPOR,KONYASPOR,5,3,1,1.6,1.6,13,12
352,36,KARAGÜMRÜK,GÖZTEPE,1,1,0,2,1.4,9,10
353,36,SİVASSPOR,BEŞİKTAŞ,0,0,0,2.6,1.6,8,1
354,36,HATAYSPOR,ANTALYASPOR,3,2,1,1,1.2,7,11
355,36,ERZURUMSPOR,MALATYASPOR,1,0,1,0.8,1.2,19,14
356,36,ANKARAGÜCÜ,DENİZLİSPOR,1,1,0,1.6,0.4,15,21
357,36,GALATASARAY,TRABZONSPOR,1,1,0,1,1.4,3,4
358,36,ALANYASPOR,GAZİANTEP,3,2,1,0.6,1.25,5,6
359,36,KASIMPAŞA,BAŞAKŞEHİR,0,1,2,1.2,1,16,18
360,37,GENÇLERBİRLİĞİ,RİZESPOR,2,1,1,1,1.6,20,11
361,37,KONYASPOR,HATAYSPOR,0,0,0,1,1.4,13,6
362,37,TRABZONSPOR,KARAGÜMRÜK,2,0,1,1,1.5,4,9
363,37,DENİZLİSPOR,SİVASSPOR,1,1,0,0.4,2.2,21,8
364,37,BEŞİKTAŞ,KAYSERİSPOR,3,1,1,1.6,0.8,1,18
365,37,ANTALYASPOR,GALATASARAY,0,1,2,0.6,1.25,12,3
366,37,MALATYASPOR,ANKARAGÜCÜ,2,1,1,1,1.8,15,14
367,37,GAZİANTEP,ERZURUMSPOR,2,3,2,1,1.4,7,19
368,37,BAŞAKŞEHİR,ALANYASPOR,0,0,0,1.5,1.2,17,5
369,37,FENERBAHÇE,KASIMPAŞA,3,2,1,2.5,1.2,2,16
370,38,HATAYSPOR,GENÇLERBİRLİĞİ,3,1,1,1,1,6,20
371,38,KAYSERİSPOR,DENİZLİSPOR,6,3,1,0.6,0.6,19,21
372,38,KARAGÜMRÜK,ANTALYASPOR,2,2,0,1.25,0.6,9,13
373,38,GÖZTEPE,TRABZONSPOR,1,1,0,1.75,1.4,10,4
374,38,RİZESPOR,BEŞİKTAŞ,2,3,2,1.4,2.2,12,1
375,38,GALATASARAY,KONYASPOR,1,0,1,2,0.6,3,11
376,38,ERZURUMSPOR,BAŞAKŞEHİR,1,2,2,2,1,18,17
377,38,SİVASSPOR,MALATYASPOR,1,0,1,2.2,1.6,7,14
378,38,ANKARAGÜCÜ,GAZİANTEP,0,1,2,1.2,0.8,15,8
379,38,ALANYASPOR,FENERBAHÇE,0,0,0,1.4,2.5,5,2
380,39,BEŞİKTAŞ,HATAYSPOR,7,0,1,2.2,1.6,1,5
